,TXN_NUMBER,LANE_NUMBER,TXN_TIMESTAMP,TOLL_CLASS,PLATE,PLATE_CONF,JURISDICTION,JURIS_CONF,ETC_TAG_ID,VDAC_TOLL_CLASS,VDAC_SPEED,VDAC_CLASS,VDAC_CLASS_CONF,VDAC_VEH_WIDTH,VDAC_VEH_HEIGHT,VDAC_VEH_LENGTH,VDAC_NUMBERS,DUPLICATE_VDAC_DET,TXN_TYPE,TXN_EXCEPTION,DUPLICATE_AVI_DET,FRONT_IMG_NUMBER,REAR_IMG_NUMBER,OVERVIEW_IMG_NUMBER,TOLLRATESIGN_IMG_NUMBER,TAG_CLASS,HOV_VEHICLE,PASSAGE_BITMAP,PROCESSED,COMPLETE,SENT_FLAG,STORED_FLAG,ACKED_FLAG,FAILOVER_FLAG,TXN_IDENTITY,TOLL_ROAD,PLAZA_ID,SENDING_PLAZA_ID,TRANSACTION_CODE,VIOLATION_BITMAP,TAG_STATUS,TAG_FILE_ID,TAG_ACCOUNT_NUMBER,PLATE_FILE_ID,PLATE_ACCOUNT_NUMBER,CORR_AVI_IDENTITY,TXN_RSE_STATUS,AUTHORITY,PROCESSED_TIMESTAMP,RECEIVED_TIMESTAMP,TAG_CORR_CONF,RAWDATA_REFERENCE,TXN_TAGINDEX,MAINTENANCE_FLAG,RETRANSMISSION_FLAG,PRIMARY_FLAG,TCS_SENT_FLAG,VEHICLE_NUMBER,SIC,INSERT_TIME,IMAGES_PROCESSED,MATCH_B_IR_ID,MATCH_B_RES_ID,MATCH_B_TAG_ID,MATCH_C_IR_ID,MATCH_C_RES_ID,MATCH_C_TAG_ID,BOS_TAG_ID,BOS_TXN_TAGINDEX,BOS_TXN_TYPE,READY_TO_SEND
0,9545d290fa51f940b086bb1e31058935,1.0,2017-07-02 04:29:36.663067,1.0,,,,,DNT.13037762,1.0,59.0,1.0,99.0,65.0,57.0,233.0,3.0,,1.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,1346048.0,1.0,0.0,1.0,0.0,1.0,0.0,3635842.0,1.0,11011.0,11011.0,0.0,0.0,,,,,,,0.0,0.0,,,,AVI:22559#AVDC:58935,1.0,0.0,0.0,1.0,1.0,58935.0,SC_rear,2017-07-02 04:30:10.524139,1.0,,,,22559.0,4966529.0,DNT.13037762,DNT.13037762,1.0,1.0,1.0
2,72c41cc1dd64d24a92fbf69d78028896,1.0,2017-07-02 04:24:46.802712,1.0,,,,,DNT.07870873,1.0,60.0,1.0,99.0,90.0,83.0,217.0,3.0,,1.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,1346080.0,1.0,0.0,1.0,0.0,1.0,0.0,3635839.0,1.0,11011.0,11011.0,0.0,0.0,,,,,,,4.0,0.0,,,,AVI:22557#AVDC:28896,1.0,0.0,0.0,1.0,1.0,28896.0,SC_front,2017-07-02 04:25:20.683235,1.0,,,,22557.0,4966524.0,DNT.07870873,DNT.07870873,1.0,1.0,1.0
6,32fb8f7066aafd4b97ca4d9c73028882,1.0,2017-07-02 03:58:45.563568,1.0,,,,,DNT.09773497,1.0,65.0,1.0,100.0,69.0,58.0,202.0,2.0,,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,1346048.0,1.0,0.0,1.0,0.0,1.0,0.0,3635825.0,1.0,11011.0,11011.0,0.0,0.0,,,,,,,0.0,0.0,,,,AVI:22550#AVDC:28882,1.0,0.0,0.0,1.0,1.0,28882.0,SC_rear,2017-07-02 03:59:18.787123,1.0,,,,22550.0,4966496.0,DNT.09773497,DNT.09773497,1.0,1.0,1.0
7,0620f68e0980ea4da1b87bd145028867,1.0,2017-07-02 03:44:21.311316,1.0,,,,,DNT.09950983,1.0,71.0,1.0,100.0,74.0,76.0,197.0,2.0,,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,1346048.0,1.0,0.0,1.0,0.0,1.0,0.0,3635810.0,1.0,11011.0,11011.0,0.0,0.0,,,,,,,0.0,0.0,,,,AVI:22542#AVDC:28867,1.0,0.0,0.0,1.0,1.0,28867.0,SC_rear,2017-07-02 03:44:54.503553,1.0,,,,22542.0,4966466.0,DNT.09950983,DNT.09950983,1.0,1.0,1.0
9,1ab24a30e666464b8d60f7898a028851,1.0,2017-07-02 03:26:18.859086,1.0,,,,,OTA.05551354,1.0,69.0,1.0,98.0,68.0,53.0,146.0,3.0,,1.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,1346080.0,1.0,0.0,1.0,0.0,1.0,0.0,3635794.0,1.0,11011.0,11011.0,0.0,0.0,,,,,,,4.0,0.0,,,,AVI:22535#AVDC:28851,1.0,0.0,0.0,1.0,1.0,28851.0,SC_front,2017-07-02 03:26:52.157320,1.0,,,,22535.0,4966433.0,OTA.05551354,OTA.05551354,1.0,1.0,1.0
10,35088c0c6133934c81b02b0482058877,1.0,2017-07-02 03:07:03.349908,1.0,,,,,DNT.09080143,1.0,77.0,1.0,99.0,66.0,59.0,177.0,2.0,,1.0,0.0,,1.0,2.0,0.0,0.0,0.0,0.0,1346048.0,1.0,0.0,1.0,0.0,1.0,0.0,3635784.0,1.0,11011.0,11011.0,0.0,0.0,,,,,,,0.0,0.0,,,,AVI:22530#AVDC:58877,1.0,0.0,0.0,1.0,1.0,58877.0,SC_rear,2017-07-02 03:07:36.484220,1.0,,,,22530.0,4966413.0,DNT.09080143,DNT.09080143,1.0,1.0,1.0
11,a01b2354116f4a4bb9148c3931058827,1.0,2017-07-02 02:04:52.279975,1.0,,,,,DNT.13408615,1.0,68.0,1.0,100.0,71.0,65.0,169.0,2.0,,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,1346048.0,1.0,0.0,1.0,0.0,1.0,0.0,3635736.0,1.0,11011.0,11011.0,0.0,67108864.0,,,,,,,0.0,0.0,,,,AVI:22502#AVDC:58827,1.0,0.0,0.0,1.0,1.0,58827.0,SC_rear,2017-07-02 02:05:25.883799,1.0,,,,22502.0,4966313.0,DNT.13408615,DNT.13408615,1.0,1.0,1.0
12,4f8df89d9fbe1740b6cabc57db058799,1.0,2017-07-02 01:28:04.773837,1.0,,,,,DNT.08691647,1.0,75.0,1.0,99.0,62.0,65.0,164.0,2.0,,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,1346080.0,1.0,0.0,1.0,0.0,1.0,0.0,3635710.0,1.0,11011.0,11011.0,0.0,67108864.0,,,,,,,4.0,0.0,,,,AVI:22488#AVDC:58799,1.0,0.0,0.0,1.0,1.0,58799.0,SC_front,2017-07-02 01:28:38.089754,1.0,,,,22488.0,4966257.0,DNT.08691647,DNT.08691647,1.0,1.0,1.0
13,70dd3a0f9a7495458d9765a4c9058766,1.0,2017-07-02 00:51:22.778555,1.0,,,,,DNT.11033683,1.0,87.0,1.0,99.0,70.0,58.0,206.0,2.0,,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,1346048.0,1.0,0.0,1.0,0.0,1.0,0.0,3635683.0,1.0,11011.0,11011.0,0.0,0.0,,,,,,,0.0,0.0,,,,AVI:22472#AVDC:58766,1.0,0.0,0.0,1.0,1.0,58766.0,SC_rear,2017-07-02 00:51:56.706401,1.0,,,,22472.0,4966190.0,DNT.11033683,DNT.11033683,1.0,1.0,1.0
14,6cd019a641c0c747bd8d57ce04058759,1.0,2017-07-02 00:43:42.776423,1.0,,,,,DNT.13039857,1.0,72.0,1.0,98.0,67.0,65.0,145.0,2.0,,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,1346080.0,1.0,0.0,1.0,0.0,1.0,0.0,3635676.0,1.0,11011.0,11011.0,0.0,0.0,,,,,,,4.0,0.0,,,,AVI:22469#AVDC:58759,1.0,0.0,0.0,1.0,1.0,58759.0,SC_front,2017-07-02 00:44:15.773320,1.0,,,,22469.0,4966177.0,DNT.13039857,DNT.13039857,1.0,1.0,1.0
